Rank,Item,Major Group,Family Group,Menu Class,Total Net Sales,Total Qty Sold,Avg Price,Discount,Discount Pct,Rev Contribution Pct,Cumulative Rev Pct
743,Kranskop Tannat 750ml,Beverage,Ent - Red Wine,Dog,14562.07,37,393.57,-53.47,-0.37,0.0049,99.0126
744,Nederburg Sauv Blanc GLS.HAT,Beverage,Ent - White Wine,Plowhorse,14490.55,171,84.74,-7.67,-0.05,0.0049,99.0175
745,Gimlet,Beverage,Ent - Cocktails,Plowhorse,14439.56,90,160.44,0.0,0.0,0.0049,99.0224
746,Phillipponat Clos des Goisses,Beverage,Ent - Sparkling Wine,Dog,14429.18,30,480.97,-312.71,-2.12,0.0049,99.0273
747,AW6 Edgebaston Cab Sauvignon Res,Beverage,Ent - Red Wine,Dog,14421.51,15,961.43,0.0,0.0,0.0049,99.0322
748,De Grendel Ceres Op die Berg Cha,Beverage,Ent - White Wine,Dog,14412.48,20,720.62,-252.69,-1.72,0.0049,99.0371
749,Amelia Brut Rose 750ml,Beverage,Ent - Sparkling Wine,Dog,14394.44,26,553.63,0.0,0.0,0.0049,99.042
750,Baileys Cream,Beverage,Ent - Liqueur,Plowhorse,14371.34,287,50.07,-19.49,-0.14,0.0049,99.0469
751,Flying Fish Lemon Flavoured Beer,Beverage,Ent - Beer,Plowhorse,14337.76,306,46.86,-144.22,-1.0,0.0049,99.0518
752,Hendricks Lunar Gin,Beverage,Ent - White Spirits,Plowhorse,14225.67,259,54.93,-19.85,-0.14,0.0048,99.0566
753,Laurent Perrier Blanc de Blanc 7,Beverage,Ent - Sparkling Wine,Dog,14060.52,8,1757.56,-1371.76,-8.89,0.0048,99.0614
754,AW4 Delaire Graff Est. Banghoek ,Beverage,Ent - White Wine,Dog,14033.449999999999,13,1079.5,0.0,0.0,0.0048,99.0662
755,Nederburg Chenin Blanc,Beverage,Ent - White Wine,Dog,13965.76,56,249.39,-22.56,-0.16,0.0047,99.0709
